preco,area,quartos
1000,125,2.0
2300,84,2.0
1990,160,3.0
5400,160,4.0
5000,120,2.0
650,30,1.0
900,30,1.0
2200,150,3.0
1049,67,1.0
670,35,1.0
1400,112,2.0
2200,100,2.0
2000,60,2.0
2300,100,3.0
1450,55,1.0
4000,400,3.0
1500,70,2.0
4500,175,3.0
900,30,1.0
800,35,1.0
1800,100,2.0
2500,200,3.0
600,55,1.0
2200,70,2.0
2150,110,2.0
1600,38,2.0
1700,85,2.0
2500,180,3.0
600,48,1.0
1750,40,2.0
4500,350,4.0
2700,110,3.0
600,48,1.0
1500,120,2.0
700,33,1.0
1050,60,2.0
1400,50,2.0
1500,65,3.0
2000,75,2.0
1200,55,2.0
2800,150,3.0
700,36,1.0
3000,127,3.0
780,55,2.0
1700,70,2.0
1750,55,2.0
11000,600,5.0
2200,112,3.0
2000,70,2.0
1300,45,2.0
1400,62,2.0
3500,90,
3500,110,3.0
11000,265,1.0
1900,70,2.0
2600,100,2.0
2500,90,3.0
2350,150,2.0
3200,120,5.0
2900,215,4.0
1300,60,2.0
2500,130,1.0
2500,90,2.0
8800,410,4.0
1800,100,2.0
1600,85,2.0
1200,55,2.0
1800,120,4.0
4500,1750,3.0
2200,90,2.0
990,60,1.0
700,35,1.0
2500,110,3.0
1200,40,1.0
1300,50,2.0
1400,70,2.0
1950,110,3.0
800,40,1.0
900,45,1.0
880,50,2.0
2500,105,4.0
1400,30,1.0
900,50,1.0
1100,80,2.0
650,30,1.0
1100,110,1.0
650,35,1.0
1100,40,1.0
4500,450,2.0
1385,55,2.0
800,40,1.0
7500,390,5.0
1600,65,2.0
850,35,1.0
1800,70,2.0
700,20,1.0
1800,85,2.0
3700,165,3.0
5180,120,
850,30,1.0
2600,80,2.0
2600,90,2.0
7000,237,4.0
1400,60,2.0
600,34,1.0
1400,50,2.0
850,50,1.0
2300,68,2.0
2200,94,3.0
700,30,1.0
6500,300,
6000,230,3.0
800,40,1.0
1000,38,1.0
1500,50,2.0
5200,73,1.0
2200,100,3.0
2200,240,4.0
2200,90,2.0
1700,50,1.0
450,100,1.0
1200,60,2.0
5000,300,3.0
10000,474,4.0
1800,105,2.0
1700,120,2.0
4500,221,4.0
2200,110,3.0
6000,350,4.0
900,30,1.0
3500,100,2.0
6696,210,
3900,124,3.0
1800,225,2.0
500,125,1.0
2000,126,3.0
2000,88,2.0
2800,150,2.0
20000,450,4.0
2500,140,3.0
13000,324,4.0
19000,500,4.0
2800,130,3.0
6000,283,3.0
4500,300,3.0
15000,260,
7500,120,
3500,100,3.0
3000,230,
8310,430,3.0
10000,220,
35000,303,
11400,200,3.0
